season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game
U2010_P002891_KRA,U2010,P002891,"AMADOU, YAYA",KRA,4.0,2.0,71.2,13,3,5,2,4,1,4,2,6,8,0,1,2,0,0,11,2,4,-28,17.81,3.25,0.75,1.25,0.6,0.5,1.0,0.5,0.25,1.0,0.25,0.5,1.5,2.0,0.0,0.25,0.5,0.0,0.0,2.75,0.5,1.0,-7.0
U2007_PCNZ_NAN,U2007,PCNZ,"AMAGOU, PAPE-PHILIPPE",NAN,10.0,5.0,192.5,57,14,31,4,18,17,20,1,12,13,16,7,18,0,4,16,23,44,-23,19.25,5.7,1.4,3.1,0.452,0.4,1.8,0.222,1.7,2.0,0.85,0.1,1.2,1.3,1.6,0.7,1.8,0.0,0.4,1.6,2.3,4.4,-2.3
U2010_PCNZ_ROA,U2010,PCNZ,"AMAGOU, PAPE-PHILIPPE",ROA,6.0,4.0,158.9,61,9,26,3,12,34,39,1,6,7,16,5,13,0,3,15,37,64,-50,26.49,10.17,1.5,4.33,0.346,0.5,2.0,0.25,5.67,6.5,0.872,0.17,1.0,1.17,2.67,0.83,2.17,0.0,0.5,2.5,6.17,10.67,-8.33
U2014_PCNZ_LMG,U2014,PCNZ,"AMAGOU, PAPE-PHILIPPE",LMG,6.0,3.0,73.3,26,7,16,1,4,9,10,5,4,9,7,2,4,0,2,10,14,29,-1,12.22,4.33,1.17,2.67,0.438,0.17,0.67,0.25,1.5,1.67,0.9,0.83,0.67,1.5,1.17,0.33,0.67,0.0,0.33,1.67,2.33,4.83,-0.17
U2015_PCNZ_LEM,U2015,PCNZ,"AMAGOU, PAPE-PHILIPPE",LEM,10.0,10.0,202.9,50,11,42,4,13,16,23,2,12,14,27,4,18,0,2,22,33,39,-19,20.29,5.0,1.1,4.2,0.262,0.4,1.3,0.308,1.6,2.3,0.696,0.2,1.2,1.4,2.7,0.4,1.8,0.0,0.2,2.2,3.3,3.9,-1.9
U2019_P008977_OLD,U2019,P008977,"AMAIZE, ROBIN",OLD,12.0,0.0,208.6,92,15,36,16,36,14,19,4,13,17,11,12,7,0,5,27,21,68,-68,17.38,7.67,1.25,3.0,0.417,1.33,3.0,0.444,1.17,1.58,0.737,0.33,1.08,1.42,0.92,1.0,0.58,0.0,0.42,2.25,1.75,5.67,-5.67
U2010_P003237_EST,U2010,P003237,"AMARANTE, LUCAS",EST,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2015_P002851_MIL,U2015,P002851,"AMATO, ANDREA",MIL,2.0,0.0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-5,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,-2.5
U2013_P005470_BAN,U2013,P005470,"AMINU, ALADE",BAN,5.0,2.0,71.1,21,8,15,0,0,5,7,6,8,14,2,3,6,3,1,12,7,22,4,14.21,4.2,1.6,3.0,0.533,0.0,0.0,0.0,1.0,1.4,0.714,1.2,1.6,2.8,0.4,0.6,1.2,0.6,0.2,2.4,1.4,4.4,0.8
U2009_PJES_UNK,U2009,PJES,"AMIRKHANOV, AMIRAN",UNK,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2010_PJES_UNK,U2010,PJES,"AMIRKHANOV, AMIRAN",UNK,1.0,0.0,1.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-5,1.45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-5.0
