season_player_id,season_code,player_id,player_last_name,player_first_name,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game,
E2025_P009783_ULK,E2025,P009783,COLSON,BONZIE,ULK,3,3,39.7,28,4,9,4,8,8,8,0,6,6,2,0,2,1,2,1,8,31,-6,13.22,9.33,1.33,3,0.444,1.33,2.67,0.5,2.67,2.67,1,0,2,2,0.67,0,0.67,0.33,0.67,0.33,2.67,10.33,-2,
E2025_P009549_IST,E2025,P009549,CORDINIER,ISAIA,IST,3,3,94.6,44,10,16,4,13,12,14,3,8,11,4,1,1,0,1,7,11,45,0,31.52,14.67,3.33,5.33,0.625,1.33,4.33,0.308,4,4.67,0.857,1,2.67,3.67,1.33,0.33,0.33,0,0.33,2.33,3.67,15,0,
E2025_P010444_PAM,E2025,P010444,COSTELLO,MATTHEW,PAM,3,1,52.6,24,7,10,2,9,4,6,6,13,19,4,3,3,2,0,5,3,35,22,17.54,8,2.33,3.33,0.7,0.67,3,0.222,1.33,2,0.667,2,4.33,6.33,1.33,1,1,0.67,0,1.67,1,11.67,7.33,
E2025_P011244_MUN,E2025,P011244,DA SILVA,OSCAR,MUN,3,0,26.2,18,9,10,0,0,0,0,6,2,8,2,3,2,0,0,2,3,29,10,8.74,6,3,3.33,0.9,0,0,0,0,0,0,2,0.67,2.67,0.67,1,0.67,0,0,0.67,1,9.67,3.33,
E2025_P005942_DUB,E2025,P005942,DANGUBIC,NEMANJA,DUB,3,0,22,3,1,3,0,1,1,1,1,1,2,0,0,0,0,1,3,2,0,-14,7.34,1,0.33,1,0.333,0,0.33,0,0.33,0.33,1,0.33,0.33,0.67,0,0,0,0,0.33,1,0.67,0,-4.67,
E2025_P007960_RED,E2025,P007960,DAVIDOVAC,DEJAN,RED,3,0,46,5,2,5,0,1,1,2,5,3,8,0,1,1,0,0,5,1,4,-18,15.34,1.67,0.67,1.67,0.4,0,0.33,0,0.33,0.67,0.5,1.67,1,2.67,0,0.33,0.33,0,0,1.67,0.33,1.33,-6,
E2025_P002100_ASV,E2025,P002100,DE COLO,NANDO,ASV,2,1,36.6,29,5,6,5,10,4,4,0,4,4,8,3,5,0,0,2,9,40,-11,18.31,14.5,2.5,3,0.833,2.5,5,0.5,2,2,1,0,2,2,4,1.5,2.5,0,0,1,4.5,20,-5.5,
E2025_P010750_PAM,E2025,P010750,DE LARREA,SERGIO,PAM,3,3,55.1,34,7,14,6,9,2,5,4,3,7,12,2,7,0,0,4,5,36,-18,18.38,11.33,2.33,4.67,0.5,2,3,0.667,0.67,1.67,0.4,1.33,1,2.33,4,0.67,2.33,0,0,1.33,1.67,12,-6,
E2025_P009005_MAD,E2025,P009005,DECK,GABRIEL,MAD,3,0,62.6,27,9,11,1,5,6,6,3,12,15,6,0,3,0,0,6,6,39,14,20.86,9,3,3.67,0.818,0.33,1.67,0.2,2,2,1,1,4,5,2,0,1,0,0,2,2,13,4.67,
E2025_P014027_BAS,E2025,P014027,DIAKITE,MAMADI,BAS,2,1,30,11,4,6,1,3,0,0,0,5,5,1,2,5,2,1,4,0,7,11,14.98,5.5,2,3,0.667,0.5,1.5,0.333,0,0,0,0,2.5,2.5,0.5,1,2.5,1,0.5,2,0,3.5,5.5,
E2025_P011226_MCO,E2025,P011226,DIALLO,ALPHA,MCO,3,3,88,35,10,17,3,8,6,6,2,10,12,4,2,2,1,3,9,9,37,27,29.34,11.67,3.33,5.67,0.588,1,2.67,0.375,2,2,1,0.67,3.33,4,1.33,0.67,0.67,0.33,1,3,3,12.33,9,
E2025_P014086_BAS,E2025,P014086,DIALLO,HAMIDOU,BAS,3,3,65.9,43,15,23,1,4,10,12,7,10,17,3,3,8,1,0,5,9,50,-8,21.96,14.33,5,7.67,0.652,0.33,1.33,0.25,3.33,4,0.833,2.33,3.33,5.67,1,1,2.67,0.33,0,1.67,3,16.67,-2.67,
E2025_P014108_VIR,E2025,P014108,DIARRA,ALIOU,VIR,2,0,15.4,8,4,5,0,0,0,1,2,1,3,0,0,1,0,0,7,1,2,16,7.7,4,2,2.5,0.8,0,0,0,0,0.5,0,1,0.5,1.5,0,0,0.5,0,0,3.5,0.5,1,8,
E2025_P007990_TEL,E2025,P007990,DIBARTOLOMEO,JOHN,TEL,2,0,20,4,1,2,0,2,2,2,2,1,3,2,1,0,0,0,2,2,7,3,10.01,2,0.5,1,0.5,0,1,0,1,1,1,1,0.5,1.5,1,0.5,0,0,0,1,1,3.5,1.5,
E2025_P008072_BAS,E2025,P008072,DIOP,KHALIFA,BAS,3,2,50.1,14,5,7,0,0,4,8,5,6,11,6,2,1,3,0,10,6,25,-7,16.71,4.67,1.67,2.33,0.714,0,0,0,1.33,2.67,0.5,1.67,2,3.67,2,0.67,0.33,1,0,3.33,2,8.33,-2.33,
E2025_P013374_VIR,E2025,P013374,DIOUF,MOUHAMET,VIR,3,0,35.4,12,5,13,0,0,2,2,4,6,10,4,0,3,1,2,3,1,12,-2,11.82,4,1.67,4.33,0.385,0,0,0,0.67,0.67,1,1.33,2,3.33,1.33,0,1,0.33,0.67,1,0.33,4,-0.67,
E2025_P014010_PRS,E2025,P014010,DOKOSSI,ALLAN,PRS,3,0,51.9,13,6,8,0,0,1,7,9,18,27,8,4,3,1,1,8,5,38,5,17.31,4.33,2,2.67,0.75,0,0,0,0.33,2.33,0.143,3,6,9,2.67,1.33,1,0.33,0.33,2.67,1.67,12.67,1.67,
E2025_P009849_OLY,E2025,P009849,DORSEY,TYLER,OLY,3,3,86.9,55,6,14,8,22,19,22,1,7,8,6,7,5,0,2,4,13,53,26,28.97,18.33,2,4.67,0.429,2.67,7.33,0.364,6.33,7.33,0.864,0.33,2.33,2.67,2,2.33,1.67,0,0.67,1.33,4.33,17.67,8.67,
