player_first_name,player_last_name,team_id,FinalWeighted_JEI
DEON,THOMPSON,BER,106.73
DARJUS,LAVRINOVIC,MAD,106.66
TYRESE,RICE,TEL,106.62
SHAQUIELLE,MCKISSIC,OLY,106.52
KHEM,BIRCH,OLY,106.43
BOSTJAN,NACHBAR,BAM,106.43
VASILIJE,MICIC,ZAL,106.38
IOANNIS,BOUROUSIS,MAD,106.35
BILLY,BARON,DYR,106.34
TREY,THOMPKINS,MAD,106.29
GUERSCHON,YABUSELE,ASV,106.14
NIGEL,HAYES,ZAL,106.05
ALEX,POYTHRESS,DYR,105.99
LUKA,MITROVIC,RED,105.98
OTHELLO,HUNTER,OLY,105.93
KONSTANTINOS,MITOGLOU,PAN,105.91
MIKE,BATISTE,PAN,105.87
NIK,CANER-MEDLEY,MAL,105.84
KELLY,MCCARTY,KHI,105.76
NENAD,KRSTIC,IST,105.68
SARUNAS,JASIKEVICIUS,PAN,105.63
FURKAN,ALDEMIR,GAL,105.63
LEANDRO,BOLMARO,MUN,105.56
TIBOR,PLEISS,BAS,105.56
MILOS,TEODOSIC,RED,105.49
NICOLO,MELLI,ULK,105.49
MIKAEL,JANTUNEN,PRS,105.48
LOUIS,BULLOCK,MAD,105.44
JONAH,BOLDEN,TEL,105.42
DEVON,HALL,ULK,105.39
AXEL,HERVELLE,MAD,105.36
DONATAS,MOTIEJUNAS,MCO,105.36
ALEC,PETERS,OLY,105.34
BILLY,BARON,RED,105.32
ALI,MUHAMMED,ULK,105.3
KRUNOSLAV,SIMON,TIV,105.21
DAVID,HAWKINS,ROM,105.19
TERENCE,MORRIS,BAR,105.19
AUSTIN JAMES,HOLLINS,DYR,105.01
TONYE,JEKIRI,UNK,105.01
BILLY,BARON,MIL,104.97
SERGIO,LLULL,MAD,104.9
CHRIS,SINGLETON,BAR,104.89
TIMOTHE,LUWAWU-CABARROT,ASV,104.85
ESTEBAN,BATISTA,PAN,104.77
TONYE,JEKIRI,ASV,104.75
RICHARD,DORSEY,BAR,104.74
MILT,PALACIO,PAR,104.74
ISAAC,BONGA,PAR,104.72
ANDRE,HUTSON,ROM,104.65
TIBOR,PLEISS,IST,104.62
DAVID,LOGAN,TEL,104.5
YOGEV,OHAYON,TEL,104.3
ERRICK,MCCOLLUM,KHI,104.3
ROBERT,ARCHIBALD,MAL,104.27
ADAM,HANGA,BAR,104.22
DYSHAWN,PIERRE,ULK,104.22
SERGI,VIDAL,BAS,104.09
LEO,WESTERMANN,ZAL,104.08
TARENCE ANTHONY,KINSEY,PAR,104.04
DEMOND,MALLET,CHA,104.03
PAULIUS,JANKUNAS,ZAL,103.57
IFFE,LUNDBERG,VIR,103.57
CASSIUS,WINSTON,MUN,103.51
SIMONE,FONTECCHIO,BER,103.5
STANKO,BARAC,BAS,103.49
AUGUSTINE,RUBIT,BAM,103.45
JAMEL,MCLEAN,MIL,103.43
VLADIMIR,MICOV,CSK,103.43
AARON,JACKSON,CSK,103.35
WILL,BYNUM,TEL,103.34
FABIEN,CAUSEUR,BAM,103.07
RICKY,HICKMAN,MIL,103.03
DEJUAN,COLLINS,ZAL,103.03
JORDAN,THEODORE,MIL,103.02
DREW,NICHOLAS,PAN,103
GIANLUCA,BASILE,BAR,102.99
RICKY,HICKMAN,BAM,102.9
JOHANNES,VOIGTMANN,MIL,102.88
YANN STEPHANE,LASME,PAN,102.8
DUSAN,KECMAN,PAR,102.77
MARCUS,GOREE,CSK,102.71
WILL,THOMAS,MAL,102.66
KELVIN,RIVERS,PAN,102.52
JOSH,NEBO,ZAL,102.42
KEVARRIUS,HAYES,PRS,102.39
DAVID,BLUTHENTHAL,TEL,102.33
DERRICK,WILLIAMS,TEL,102.25
TRAVIS,WATSON,MIL,102.23
STEFAN,JOVIC,KHI,102.15
SHAVON,SHIELDS,BAS,102.1
RYAN,BROEKHOFF,TIV,102.06
JOHNNY,O'BRYANT,TEL,101.71
DANIEL,HACKETT,BAM,101.7
NIKOLA,KALINIC,ULK,101.66
DANILO,BARTHEL,MUN,101.49
JOHANNES,VOIGTMANN,MUN,101.45
CARLOS,ARROYO,TEL,101.45
FELIPE,REYES,MAD,101.41
KEREM,GONLUM,IST,101.37
JARED,HARPER,PAM,101.37
ROMAN,SORKIN,TEL,101.21
VICTOR,RUDD,TEL,101.2
TARENCE ANTHONY,KINSEY,ULK,101.13
IGNAS,BRAZDEIKIS,ZAL,101.05
DARRUN,HILLIARD,MUN,101.03
JAMONT,GORDON,CSK,101.02
MARKO,MILIC,LJU,100.84
DESHAUN,THOMAS,TEL,100.83
SOFOKLIS,SCHORTSANITIS,TEL,100.82
